lambda,train_error,test_error
1.00E-05,0.75023,0.75098
2.00E-05,0.750245,0.75084
3.00E-05,0.750215,0.7509
4.00E-05,0.75016,0.75088
5.00E-05,0.75014,0.75082
6.00E-05,0.750135,0.75088
7.00E-05,0.750145,0.75084
8.00E-05,0.75015,0.75078
9.00E-05,0.750105,0.75076
0.0001,0.75007,0.75072
0.0002,0.75004,0.75076
0.0003,0.74998,0.7505
0.0004,0.749805,0.7504
0.0005,0.74979,0.75028
0.0006,0.749845,0.75028
0.0007,0.74967,0.7505
0.0008,0.749635,0.75036
0.0009,0.749485,0.75002
0.001,0.74946,0.7501
0.002,0.74871,0.74864
0.003,0.747815,0.74788
0.004,0.74687,0.74704
0.005,0.74624,0.74662
0.006,0.745505,0.74592
0.007,0.744975,0.74502
0.008,0.744555,0.74468
0.009,0.744045,0.74358
